Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-05T07:03:59.013Z","Included","claude-4.5-opus-high-thinking","Yes","268","7","87891","146","88312","0.04"
"2025-12-05T07:03:28.918Z","Included","claude-4.5-opus-high-thinking","Yes","4164","7","83727","180","88078","0.05"
"2025-12-05T07:03:12.625Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T07:03:04.261Z","Included","claude-4.5-opus-high-thinking","Yes","72134","695","11593","3282","87704","0.39"
"2025-12-05T06:57:03.092Z","Included","claude-4.5-opus-high-thinking","Yes","403","6","82416","869","83694","0.05"
"2025-12-05T06:56:57.357Z","Included","claude-4.5-opus-high-thinking","Yes","299","6","82117","160","82582","0.03"
"2025-12-05T06:56:50.489Z","Included","claude-4.5-opus-high-thinking","Yes","729","6","81388","165","82288","0.04"
"2025-12-05T06:56:47.300Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:56:44.161Z","Included","claude-4.5-opus-high-thinking","Yes","126","6","81262","324","81718","0.04"
"2025-12-05T06:52:27.407Z","Included","claude-4.5-opus-high-thinking","Yes","11816","6","69446","102","81370","0.08"
"2025-12-05T06:52:23.891Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:51:38.754Z","Included","claude-4.5-opus-high-thinking","Yes","3339","6","66107","11454","80906","0.25"
"2025-12-05T06:51:35.213Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:50:23.066Z","Included","claude-4.5-opus-high-thinking","Yes","4759","6","61348","2975","69088","0.10"
"2025-12-05T06:50:19.918Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:49:46.790Z","Included","claude-4.5-opus-high-thinking","Yes","2638","6","58710","4396","65750","0.11"
"2025-12-05T06:49:44.845Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:49:25.000Z","Included","claude-4.5-opus-high-thinking","Yes","1317","6","57393","2216","60932","0.07"
"2025-12-05T06:49:20.178Z","Included","claude-4.5-opus-high-thinking","Yes","1179","6","56214","1235","58634","0.05"
"2025-12-05T06:48:58.243Z","Included","claude-4.5-opus-high-thinking","Yes","14441","6","41773","986","57206","0.10"
"2025-12-05T06:48:57.497Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:48:56.821Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:48:56.132Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:48:55.359Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:48:54.090Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:48:49.279Z","Included","claude-4.5-opus-high-thinking","Yes","27484","6","14289","468","42247","0.14"
"2025-12-05T06:48:48.588Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:48:48.154Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:48:47.325Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:48:41.694Z","Included","claude-4.5-opus-high-thinking","Yes","1411","6","12878","470","14765","0.02"
"2025-12-05T06:48:36.235Z","Included","claude-4.5-opus-high-thinking","Yes","417","8","12461","265","13151","0.01"
"2025-12-05T06:44:27.083Z","Included","claude-4.5-opus-high-thinking","Yes","738","6","21233","399","22376","0.02"
"2025-12-05T06:44:22.749Z","Included","claude-4.5-opus-high-thinking","Yes","874","6","20359","123","21362","0.01"
"2025-12-05T06:44:17.255Z","Included","claude-4.5-opus-high-thinking","Yes","411","6","19948","134","20499","0.01"
"2025-12-05T06:44:06.986Z","Included","claude-4.5-opus-high-thinking","Yes","348","6","19600","293","20247","0.01"
"2025-12-05T06:44:03.291Z","Included","claude-4.5-opus-high-thinking","Yes","365","6","19235","191","19797","0.01"
"2025-12-05T06:43:57.347Z","Included","claude-4.5-opus-high-thinking","Yes","297","6","18938","139","19380","0.01"
"2025-12-05T06:43:53.423Z","Included","claude-4.5-opus-high-thinking","Yes","299","6","18639","176","19120","0.01"
"2025-12-05T06:43:46.103Z","Included","claude-4.5-opus-high-thinking","Yes","414","6","18225","136","18781","0.01"
"2025-12-05T06:43:38.808Z","Included","claude-4.5-opus-high-thinking","Yes","777","6","17448","321","18552","0.02"
"2025-12-05T06:43:35.057Z","Included","claude-4.5-opus-high-thinking","Yes","262","6","17186","148","17602","0.01"
"2025-12-05T06:43:31.152Z","Included","claude-4.5-opus-high-thinking","Yes","455","6","16731","115","17307","0.01"
"2025-12-05T06:43:23.696Z","Included","claude-4.5-opus-high-thinking","Yes","1746","6","14985","312","17049","0.02"
"2025-12-05T06:43:19.109Z","Included","claude-4.5-opus-high-thinking","Yes","263","6","14722","118","15109","0.01"
"2025-12-05T06:43:16.052Z","Included","claude-4.5-opus-high-thinking","Yes","234","6","14488","149","14877","0.01"
"2025-12-05T06:43:10.873Z","Included","claude-4.5-opus-high-thinking","Yes","422","6","14066","111","14605","0.01"
"2025-12-05T06:43:04.073Z","Included","claude-4.5-opus-high-thinking","Yes","1315","6","12751","313","14385","0.02"
"2025-12-05T06:42:58.226Z","Included","claude-4.5-opus-high-thinking","Yes","1158","8","11593","168","12927","0.01"
"2025-12-05T06:39:50.748Z","Included","claude-4.5-opus-high-thinking","Yes","1373","6","88465","97","89941","0.04"
"2025-12-05T06:39:43.334Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:39:32.693Z","Included","claude-4.5-opus-high-thinking","Yes","684","6","87781","1165","89636","0.06"
"2025-12-05T06:39:22.112Z","Included","claude-4.5-opus-high-thinking","Yes","913","6","86868","597","88384","0.05"
"2025-12-05T06:39:12.133Z","Included","claude-4.5-opus-high-thinking","Yes","1741","6","85127","790","87664","0.05"
"2025-12-05T06:39:10.705Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:39:05.971Z","Included","claude-4.5-opus-high-thinking","Yes","0","331","85127","315","85773","0.04"
"2025-12-05T06:36:31.740Z","Included","claude-4.5-opus-high-thinking","Yes","656","6","90539","211","91412","0.04"
"2025-12-05T06:36:21.917Z","Included","claude-4.5-opus-high-thinking","Yes","605","6","89934","569","91114","0.05"
"2025-12-05T06:36:18.013Z","Included","claude-4.5-opus-high-thinking","Yes","663","6","89271","518","90458","0.04"
"2025-12-05T06:36:07.152Z","Included","claude-4.5-opus-high-thinking","Yes","693","6","88578","177","89454","0.04"
"2025-12-05T06:35:57.331Z","Included","claude-4.5-opus-high-thinking","Yes","875","6","87703","605","89189","0.05"
"2025-12-05T06:35:48.951Z","Included","claude-4.5-opus-high-thinking","Yes","854","6","86849","754","88463","0.05"
"2025-12-05T06:35:40.744Z","Included","claude-4.5-opus-high-thinking","Yes","1722","6","85127","364","87219","0.04"
"2025-12-05T06:35:39.401Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:35:34.010Z","Included","claude-4.5-opus-high-thinking","Yes","73534","333","11593","294","85754","0.34"
"2025-12-05T06:17:42.616Z","Included","claude-4.5-opus-high-thinking","Yes","558","6","84436","128","85128","0.04"
"2025-12-05T06:17:36.382Z","Included","claude-4.5-opus-high-thinking","Yes","314","6","84122","141","84583","0.03"
"2025-12-05T06:17:32.894Z","Included","claude-4.5-opus-high-thinking","Yes","292","6","83830","226","84354","0.04"
"2025-12-05T06:17:29.442Z","Included","claude-4.5-opus-high-thinking","Yes","602","6","83228","128","83964","0.03"
"2025-12-05T06:17:25.690Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:17:19.577Z","Included","claude-4.5-opus-high-thinking","Yes","624","6","82604","397","83631","0.04"
"2025-12-05T06:17:14.424Z","Included","claude-4.5-opus-high-thinking","Yes","71011","343","11593","167","83114","0.33"
"2025-12-05T06:09:14.203Z","Included","claude-4.5-opus-high-thinking","Yes","194","6","81513","892","82605","0.05"
"2025-12-05T06:09:03.133Z","Included","claude-4.5-opus-high-thinking","Yes","608","6","80905","170","81689","0.03"
"2025-12-05T06:08:49.995Z","Included","claude-4.5-opus-high-thinking","Yes","1052","6","79853","321","81232","0.04"
"2025-12-05T06:08:41.883Z","Included","claude-4.5-opus-high-thinking","Yes","6465","6","73388","964","80823","0.07"
"2025-12-05T06:08:40.823Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:08:28.975Z","Included","claude-4.5-opus-high-thinking","Yes","727","6","72661","388","73782","0.04"
"2025-12-05T06:08:23.334Z","Included","claude-4.5-opus-high-thinking","Yes","174","6","72487","440","73107","0.03"
"2025-12-05T06:08:09.874Z","Included","claude-4.5-opus-high-thinking","Yes","722","6","71765","150","72643","0.03"
"2025-12-05T06:08:02.337Z","Included","claude-4.5-opus-high-thinking","Yes","441","6","71324","636","72407","0.04"
"2025-12-05T06:07:55.399Z","Included","claude-4.5-opus-high-thinking","Yes","394","6","70930","353","71683","0.03"
"2025-12-05T06:07:47.905Z","Included","claude-4.5-opus-high-thinking","Yes","1736","6","69194","306","71242","0.04"
"2025-12-05T06:07:34.463Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:03:03.812Z","Included","claude-4.5-opus-high-thinking","Yes","8647","6","60547","1329","70529","0.08"
"2025-12-05T06:02:23.155Z","Included","claude-4.5-opus-high-thinking","Yes","5051","6","55496","8560","69113","0.20"
"2025-12-05T06:02:01.038Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:01:51.506Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:01:41.501Z","Included","claude-4.5-opus-high-thinking","Yes","1413","6","54083","4757","60259","0.11"
"2025-12-05T06:01:24.174Z","Included","claude-4.5-opus-high-thinking","Yes","8284","6","45799","1170","55259","0.07"
"2025-12-05T06:01:23.604Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:01:22.042Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:01:16.721Z","Included","claude-4.5-opus-high-thinking","Yes","31670","6","14129","288","46093","0.15"
"2025-12-05T06:01:15.979Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:01:15.258Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:01:14.239Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T06:01:09.103Z","Included","claude-4.5-opus-high-thinking","Yes","1330","6","12799","387","14522","0.02"
"2025-12-05T06:01:04.867Z","Included","claude-4.5-opus-high-thinking","Yes","1206","8","11593","204","13011","0.01"
"2025-12-05T05:47:46.822Z","Included","claude-4.5-opus-high-thinking","Yes","611","6","67215","457","68289","0.04"
"2025-12-05T05:47:40.578Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:45:34.139Z","Included","claude-4.5-opus-high-thinking","Yes","8440","6","58775","399","67620","0.07"
"2025-12-05T05:45:24.983Z","Included","claude-4.5-opus-high-thinking","Yes","561","6","58214","8349","67130","0.17"
"2025-12-05T05:45:17.653Z","Included","claude-4.5-opus-high-thinking","Yes","9974","6","48240","470","58690","0.07"
"2025-12-05T05:44:33.194Z","Included","claude-4.5-opus-high-thinking","Yes","3140","6","45100","160","48406","0.03"
"2025-12-05T05:44:27.414Z","Included","claude-4.5-opus-high-thinking","Yes","624","6","44476","3052","48158","0.07"
"2025-12-05T05:44:20.158Z","Included","claude-4.5-opus-high-thinking","Yes","2349","6","42127","374","44856","0.03"
"2025-12-05T05:44:13.896Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:44:07.036Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:43:52.788Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:43:48.611Z","Included","claude-4.5-opus-high-thinking","Yes","856","6","41271","1941","44074","0.05"
"2025-12-05T05:43:35.374Z","Included","claude-4.5-opus-high-thinking","Yes","28095","6","13176","688","41965","0.14"
"2025-12-05T05:43:34.645Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:43:33.857Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:43:29.069Z","Included","claude-4.5-opus-high-thinking","Yes","395","6","12781","251","13433","0.01"
"2025-12-05T05:43:24.607Z","Included","claude-4.5-opus-high-thinking","Yes","1188","8","11593","215","13004","0.01"
"2025-12-05T05:29:07.013Z","Included","claude-4.5-opus-high-thinking","Yes","308","6","67852","351","68517","0.03"
"2025-12-05T05:29:00.189Z","Included","claude-4.5-opus-high-thinking","Yes","1084","6","66768","149","68007","0.03"
"2025-12-05T05:28:53.781Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:28:47.974Z","Included","claude-4.5-opus-high-thinking","Yes","3383","6","63385","875","67649","0.05"
"2025-12-05T05:28:39.653Z","Included","claude-4.5-opus-high-thinking","Yes","51792","168","11593","270","63823","0.24"
"2025-12-05T05:19:30.346Z","Included","claude-4.5-opus-high-thinking","Yes","1549","6","61555","283","63393","0.03"
"2025-12-05T05:19:20.602Z","Included","claude-4.5-opus-high-thinking","Yes","372","6","61183","651","62212","0.04"
"2025-12-05T05:19:14.361Z","Included","claude-4.5-opus-high-thinking","Yes","838","6","60345","292","61481","0.03"
"2025-12-05T05:19:06.745Z","Included","claude-4.5-opus-high-thinking","Yes","150","336","60195","400","61081","0.03"
"2025-12-05T05:17:59.703Z","Included","claude-4.5-opus-high-thinking","Yes","374","6","59821","145","60346","0.03"
"2025-12-05T05:17:54.288Z","Included","claude-4.5-opus-high-thinking","Yes","630","6","59191","189","60016","0.03"
"2025-12-05T05:17:43.242Z","Included","claude-4.5-opus-high-thinking","Yes","441","6","58750","512","59709","0.03"
"2025-12-05T05:17:37.008Z","Included","claude-4.5-opus-high-thinking","Yes","556","6","58194","177","58933","0.03"
"2025-12-05T05:17:30.070Z","Included","claude-4.5-opus-high-thinking","Yes","379","6","57815","471","58671","0.03"
"2025-12-05T05:17:24.550Z","Included","claude-4.5-opus-high-thinking","Yes","1640","6","56175","110","57931","0.03"
"2025-12-05T05:17:13.844Z","Included","claude-4.5-opus-high-thinking","Yes","1543","868","54632","629","57672","0.04"
"2025-12-05T05:13:38.058Z","Included","claude-4.5-opus-high-thinking","Yes","250","0","53057","828","54135","0.04"
"2025-12-05T05:13:33.105Z","Included","claude-4.5-opus-high-thinking","Yes","41464","0","11593","109","53166","0.19"
"2025-12-05T05:13:33.052Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:13:16.361Z","Included","claude-4.5-opus-high-thinking","Yes","368","6","54264","243","54881","0.03"
"2025-12-05T05:13:12.472Z","Included","claude-4.5-opus-high-thinking","Yes","220","6","54044","166","54436","0.02"
"2025-12-05T05:13:02.436Z","Included","claude-4.5-opus-high-thinking","Yes","705","6","53339","127","54177","0.02"
"2025-12-05T05:12:57.915Z","Included","claude-4.5-opus-high-thinking","Yes","1385","6","51954","619","53964","0.04"
"2025-12-05T05:12:57.172Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:12:46.304Z","Included","claude-4.5-opus-high-thinking","Yes","868","6","51086","185","52145","0.03"
"2025-12-05T05:12:40.441Z","Included","claude-4.5-opus-high-thinking","Yes","3008","6","48078","783","51875","0.04"
"2025-12-05T05:12:39.809Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:12:36.681Z","Included","claude-4.5-opus-high-thinking","Yes","197","6","47881","213","48297","0.02"
"2025-12-05T05:12:26.901Z","Included","claude-4.5-opus-high-thinking","Yes","619","6","47262","107","47994","0.02"
"2025-12-05T05:12:14.816Z","Included","claude-4.5-opus-high-thinking","Yes","728","6","46534","532","47800","0.03"
"2025-12-05T05:12:09.177Z","Included","claude-4.5-opus-high-thinking","Yes","431","6","46103","641","47181","0.03"
"2025-12-05T05:12:02.405Z","Included","claude-4.5-opus-high-thinking","Yes","414","6","45689","262","46371","0.02"
"2025-12-05T05:11:53.498Z","Included","claude-4.5-opus-high-thinking","Yes","449","6","45240","327","46022","0.02"
"2025-12-05T05:11:47.483Z","Included","claude-4.5-opus-high-thinking","Yes","389","6","44851","362","45608","0.02"
"2025-12-05T05:11:39.131Z","Included","claude-4.5-opus-high-thinking","Yes","567","6","44284","302","45159","0.02"
"2025-12-05T05:11:33.593Z","Included","claude-4.5-opus-high-thinking","Yes","527","6","43757","482","44772","0.03"
"2025-12-05T05:11:06.796Z","Included","claude-4.5-opus-high-thinking","Yes","1596","6","42161","257","44020","0.03"
"2025-12-05T05:10:56.596Z","Included","claude-4.5-opus-high-thinking","Yes","580","6","41581","1509","43676","0.04"
"2025-12-05T05:10:50.506Z","Included","claude-4.5-opus-high-thinking","Yes","1127","6","40454","496","42083","0.03"
"2025-12-05T05:10:32.629Z","Included","claude-4.5-opus-high-thinking","Yes","27647","6","12807","957","41417","0.15"
"2025-12-05T05:10:31.875Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T05:10:27.254Z","Included","claude-4.5-opus-high-thinking","Yes","1214","8","11593","336","13151","0.02"
"2025-12-05T01:53:16.095Z","Included","claude-4.5-opus-high-thinking","Yes","665","6","45444","172","46287","0.02"
"2025-12-05T01:53:12.248Z","Included","claude-4.5-opus-high-thinking","Yes","490","6","44954","149","45599","0.02"
"2025-12-05T01:53:09.120Z","Included","claude-4.5-opus-high-thinking","Yes","115","6","44839","131","45091","0.02"
"2025-12-05T01:53:02.002Z","Included","claude-4.5-opus-high-thinking","Yes","427","6","44412","91","44936","0.02"
"2025-12-05T01:52:57.062Z","Included","claude-4.5-opus-high-thinking","Yes","827","6","43585","356","44774","0.03"
"2025-12-05T01:52:49.535Z","Included","claude-4.5-opus-high-thinking","Yes","682","6","42903","139","43730","0.02"
"2025-12-05T01:52:38.203Z","Included","claude-4.5-opus-high-thinking","Yes","5103","6","37800","617","43526","0.05"
"2025-12-05T01:52:36.558Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T01:52:32.024Z","Included","claude-4.5-opus-high-thinking","Yes","1080","6","36720","291","38097","0.02"
"2025-12-05T01:52:27.201Z","Included","claude-4.5-opus-high-thinking","Yes","825","6","35895","149","36875","0.02"
"2025-12-05T01:52:25.993Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T01:52:23.346Z","Included","claude-4.5-opus-high-thinking","Yes","24302","421","11593","242","36558","0.12"
"2025-12-05T01:36:49.368Z","Included","claude-4.5-opus-high-thinking","Yes","1549","6","33953","388","35896","0.03"
"2025-12-05T01:36:48.364Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T01:36:43.930Z","Included","claude-4.5-opus-high-thinking","Yes","289","6","33664","278","34237","0.02"
"2025-12-05T01:36:42.164Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T01:36:37.356Z","Included","claude-4.5-opus-high-thinking","Yes","215","6","33449","182","33852","0.02"
"2025-12-05T01:36:32.928Z","Included","claude-4.5-opus-high-thinking","Yes","322","6","33127","144","33599","0.02"
"2025-12-05T01:36:25.610Z","Included","claude-4.5-opus-high-thinking","Yes","246","6","32881","253","33386","0.02"
"2025-12-05T01:36:19.525Z","Included","claude-4.5-opus-high-thinking","Yes","363","6","32518","175","33062","0.02"
"2025-12-05T01:36:07.773Z","Included","claude-4.5-opus-high-thinking","Yes","662","6","31856","292","32816","0.02"
"2025-12-05T01:35:57.667Z","Included","claude-4.5-opus-high-thinking","Yes","690","6","31166","555","32417","0.02"
"2025-12-05T01:35:50.089Z","Included","claude-4.5-opus-high-thinking","Yes","637","6","30529","619","31791","0.03"
"2025-12-05T01:35:43.640Z","Included","claude-4.5-opus-high-thinking","Yes","1208","6","29321","569","31104","0.03"
"2025-12-05T01:35:29.332Z","Included","claude-4.5-opus-high-thinking","Yes","3747","6","25574","596","29923","0.04"
"2025-12-05T01:35:25.777Z","Included","claude-4.5-opus-high-thinking","Yes","1355","6","24219","175","25755","0.02"
"2025-12-05T01:35:23.157Z","Included","claude-4.5-opus-high-thinking","Yes","310","6","23909","122","24347","0.01"
"2025-12-05T01:35:22.336Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T01:35:18.754Z","Included","claude-4.5-opus-high-thinking","Yes","605","6","23304","178","24093","0.01"
"2025-12-05T01:35:14.628Z","Included","claude-4.5-opus-high-thinking","Yes","11711","324","11593","236","23864","0.06"
"2025-12-05T01:33:34.233Z","Included","claude-4.5-opus-high-thinking","Yes","140","7","21610","252","22009","0.01"
"2025-12-05T01:33:25.554Z","Included","claude-4.5-opus-high-thinking","Yes","739","7","20871","116","21733","0.01"
"2025-12-05T01:33:20.245Z","Included","claude-4.5-opus-high-thinking","Yes","10570","229","10301","410","21510","0.06"
"2025-12-05T01:29:49.080Z","Included","claude-4.5-opus-high-thinking","Yes","1474","6","19955","734","22169","0.03"
"2025-12-05T01:29:46.394Z","Included","claude-4.5-opus-high-thinking","Yes","116","6","19839","152","20113","0.01"
"2025-12-05T01:29:22.086Z","Included","claude-4.5-opus-high-thinking","Yes","1575","6","18264","92","19937","0.02"
"2025-12-05T01:29:13.631Z","Included","claude-4.5-opus-high-thinking","Yes","780","6","17484","1504","19774","0.04"
"2025-12-05T01:29:03.836Z","Included","claude-4.5-opus-high-thinking","Yes","1138","6","16346","715","18205","0.02"
"2025-12-05T01:28:58.796Z","Included","claude-4.5-opus-high-thinking","Yes","394","6","15952","143","16495","0.01"
"2025-12-05T01:28:57.621Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T01:28:51.899Z","Included","claude-4.5-opus-high-thinking","Yes","2876","6","13076","262","16220","0.02"
"2025-12-05T01:28:50.980Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-05T01:28:43.937Z","Included","claude-4.5-opus-high-thinking","Yes","1483","8","11593","396","13480","0.02"
"2025-12-04T14:58:12.964Z","Included","claude-4.5-opus-high-thinking","Yes","531","7","81506","911","82955","0.05"
"2025-12-04T14:58:07.761Z","Included","claude-4.5-opus-high-thinking","Yes","1386","7","80120","142","81655","0.04"
"2025-12-04T14:57:58.880Z","Included","claude-4.5-opus-high-thinking","Yes","441","7","79679","327","80454","0.04"
"2025-12-04T14:57:53.951Z","Included","claude-4.5-opus-high-thinking","Yes","317","7","79362","112","79798","0.03"
"2025-12-04T14:57:48.890Z","Included","claude-4.5-opus-high-thinking","Yes","620","7","78742","194","79563","0.03"
"2025-12-04T14:57:43.671Z","Included","claude-4.5-opus-high-thinking","Yes","364","7","78378","112","78861","0.03"
"2025-12-04T14:57:34.448Z","Included","claude-4.5-opus-high-thinking","Yes","377","7","78001","241","78626","0.03"
"2025-12-04T14:57:16.251Z","Included","claude-4.5-opus-high-thinking","Yes","1624","7","76377","286","78294","0.04"
"2025-12-04T14:57:06.603Z","Included","claude-4.5-opus-high-thinking","Yes","588","7","75789","1533","77917","0.06"
